Equity name,Ann Date,Prev Ann Date,Next Ann Date,EPS,Surprise,PE,PE Change,Up Down Flag,Beat Miss Flag,Sector,Quarter,Surprise 8,Surprise 7,Surprise 6,Surprise 5,Surprise 4,Surprise 3,Surprise 2,Surprise 1
NVR US Equity,2020-10-20,2020-07-22,2021-01-28,65.11,0.10890000000000001,18.79,0.20063897763578264,1,1,2,2.0,2022-10-25,2022-07-26,2022-04-26,2022-02-01,2021-10-21,2021-07-21,2021-04-21,2021-01-28
LRCX US Equity,2022-01-26,2021-10-20,2022-04-20,0.853,0.0034999999999999996,22.4,0.16484659386375444,0,1,7,3.0,2024-01-24,2023-10-18,2023-07-26,2023-04-19,2023-01-25,2022-10-19,2022-07-27,2022-04-20
VRSN US Equity,2021-04-22,2021-02-11,2021-07-22,1.33,0.011399999999999999,36.27,0.17492711370262404,0,1,1,0.0,2023-04-27,2023-02-09,2022-10-27,2022-07-28,2022-04-28,2022-02-10,2021-10-28,2021-07-22
HLT US Equity,2023-10-25,2023-07-26,2024-02-07,1.67,0.0103,26.96,-0.03299856527977041,1,1,2,2.0,2025-10-23,2025-07-23,2025-04-29,2025-02-06,2024-10-23,2024-08-07,2024-04-24,2024-02-07
O US Equity,2020-11-02,2020-08-03,2021-02-22,0.329,-0.059800000000000006,41.43,0.0425264217413186,0,0,5,2.0,2022-11-02,2022-08-03,2022-05-04,2022-02-22,2021-11-01,2021-08-02,2021-05-03,2021-02-22
PEP US Equity,2021-10-05,2021-07-13,2022-02-10,1.79,0.0281,25.15,-0.007106198183971513,1,1,3,2.0,2023-10-10,2023-07-13,2023-04-25,2023-02-09,2022-10-12,2022-07-12,2022-04-26,2022-02-10
EQR US Equity,2024-07-29,2024-04-23,2024-10-30,0.47,0.0352,48.49,0.10631987223363004,0,1,5,1.0,2026-08-04,2026-04-29,2026-02-03,2025-10-30,2025-08-04,2025-04-29,2025-02-03,2024-10-30
EBAY US Equity,2023-02-22,2022-11-02,2023-04-26,1.07,0.0085,12.88,0.11611785095320637,0,1,1,3.0,2025-02-26,2024-10-30,2024-07-31,2024-05-01,2024-02-27,2023-11-07,2023-07-26,2023-04-26
AME US Equity,2021-05-04,2021-02-04,2021-08-03,1.07,0.048,36.6,0.03800340328984686,1,1,6,0.0,2023-05-02,2023-02-02,2022-11-01,2022-08-02,2022-05-03,2022-02-03,2021-11-02,2021-08-03
NOC US Equity,2021-10-28,2021-07-29,2022-01-27,6.63,0.1109,14.66,-0.0393184796854521,0,1,6,2.0,2023-10-26,2023-07-27,2023-04-27,2023-01-26,2022-10-27,2022-07-28,2022-04-28,2022-01-27
ULTA US Equity,2020-08-27,2020-05-28,2020-12-03,0.73,4.84,40.03,0.2896262886597938,1,1,2,2.0,2022-08-25,2022-05-26,2022-03-10,2021-12-02,2021-08-25,2021-05-27,2021-03-11,2020-12-03
JBL US Equity,2020-06-19,2020-03-13,2020-09-24,0.37,-0.0727,14.96,0.04105775922059851,1,0,6,1.0,2022-06-16,2022-03-16,2021-12-16,2021-09-29,2021-06-17,2021-03-16,2020-12-17,2020-09-24
NUE US Equity,2023-01-26,2022-10-20,2023-04-20,4.89,0.16649999999999998,4.42,0.09405940594059414,1,1,0,3.0,2025-01-27,2024-10-21,2024-07-22,2024-04-22,2024-01-29,2023-10-23,2023-07-24,2023-04-20
KDP US Equity,2020-10-29,2020-07-30,2021-02-25,0.39,0.0512,24.0,-0.07048799380325332,0,1,3,2.0,2022-10-27,2022-07-28,2022-04-28,2022-02-24,2021-10-28,2021-07-29,2021-04-29,2021-02-25
BK US Equity,2021-07-15,2021-04-16,2021-10-19,1.13,0.13,12.65,0.05153782211138824,0,1,5,1.0,2023-07-18,2023-04-18,2023-01-13,2022-10-17,2022-07-15,2022-04-18,2022-01-18,2021-10-19
MU US Equity,2023-03-28,2022-12-21,2023-06-28,-1.91,-2.0317,35.08,3.079069767441861,1,0,7,0.0,2025-03-20,2024-12-18,2024-09-25,2024-06-26,2024-03-20,2023-12-20,2023-09-27,2023-06-28
DHI US Equity,2022-04-26,2022-02-02,2022-07-21,4.03,0.1884,5.29,-0.3877314814814815,0,1,2,0.0,2024-04-18,2024-01-23,2023-11-07,2023-07-20,2023-04-20,2023-01-24,2022-11-09,2022-07-21
LRCX US Equity,2021-01-27,2020-10-21,2021-04-21,0.603,0.055999999999999994,23.5,0.2466843501326259,0,1,7,3.0,2023-01-25,2022-10-19,2022-07-27,2022-04-20,2022-01-26,2021-10-20,2021-07-28,2021-04-21
NOC US Equity,2022-10-27,2022-07-28,2023-01-26,5.89,-0.0351,23.18,0.018453427065026284,1,0,6,2.0,2024-10-24,2024-07-25,2024-04-25,2024-01-25,2023-10-26,2023-07-27,2023-04-27,2023-01-26
HD US Equity,2020-05-19,2020-02-25,2020-08-18,2.084,-0.0736,24.7,0.1623529411764706,0,0,2,1.0,2022-05-17,2022-02-22,2021-11-16,2021-08-17,2021-05-18,2021-02-23,2020-11-17,2020-08-18
LULU US Equity,2020-12-10,2020-09-08,2021-03-30,1.16,0.32420000000000004,84.33,-0.05944679901851435,0,1,2,3.0,2022-12-08,2022-09-01,2022-06-02,2022-03-29,2021-12-09,2021-09-08,2021-06-03,2021-03-30
AAPL US Equity,2023-08-03,2023-05-04,2023-11-02,1.26,0.045599999999999995,33.02,0.14612981603609865,0,1,7,2.0,2025-08-01,2025-05-01,2025-01-30,2024-10-31,2024-08-01,2024-05-02,2024-02-01,2023-11-02
TYL US Equity,2021-02-10,2020-11-04,2021-04-28,1.39,-0.0204,93.07,0.21216462620474075,1,0,7,3.0,2023-02-15,2022-10-26,2022-07-27,2022-04-27,2022-02-16,2021-10-27,2021-07-28,2021-04-28
LVS US Equity,2024-04-17,2024-01-24,2024-07-24,0.75,0.2458,22.0,-0.19087899963221777,0,1,2,0.0,2026-04-23,2026-01-29,2025-10-23,2025-07-23,2025-04-23,2025-01-29,2024-10-23,2024-07-24
TDY US Equity,2020-04-22,2020-01-22,2020-07-22,2.281,0.08349999999999999,28.56,-0.16344463971880496,1,1,6,0.0,2022-04-27,2022-01-27,2021-10-27,2021-07-28,2021-04-28,2021-01-27,2020-10-21,2020-07-22
COR US Equity,2023-05-02,2023-02-01,2023-08-02,3.5,0.06509999999999999,15.84,-0.03825136612021851,1,1,3,0.0,2025-05-07,2025-02-05,2024-11-06,2024-07-31,2024-05-01,2024-01-31,2023-11-02,2023-08-02
MDLZ US Equity,2023-07-27,2023-04-27,2023-11-01,0.76,0.0999,23.53,0.012478485370051695,1,1,3,1.0,2025-07-29,2025-04-29,2025-02-04,2024-10-29,2024-07-30,2024-04-30,2024-01-30,2023-11-01
ELV US Equity,2022-04-20,2022-01-26,2022-07-20,8.25,0.0669,19.0,0.017130620985010614,1,1,3,0.0,2024-04-18,2024-01-24,2023-10-18,2023-07-19,2023-04-19,2023-01-25,2022-10-19,2022-07-20
CAH US Equity,2022-02-03,2021-11-09,2022-05-05,1.27,0.0168,13.14,0.14459930313588854,0,1,3,3.0,2024-02-01,2023-11-03,2023-08-15,2023-05-04,2023-02-02,2022-11-04,2022-08-11,2022-05-05
AWK US Equity,2021-02-24,2020-11-04,2021-05-03,0.8,0.0127,39.25,0.051151580074986436,0,1,8,3.0,2023-02-15,2022-10-31,2022-07-27,2022-04-27,2022-02-16,2021-11-02,2021-08-02,2021-05-03
BRO US Equity,2020-07-27,2020-04-27,2020-10-26,0.34,0.1972,27.17,0.1026785714285714,0,1,5,1.0,2022-07-25,2022-04-25,2022-01-24,2021-10-25,2021-07-26,2021-04-26,2021-01-25,2020-10-26
PFE US Equity,2024-07-30,2024-05-01,2024-10-29,0.6,0.3015,40.55,0.1689247621793024,1,1,3,1.0,2026-08-05,2026-04-29,2026-02-04,2025-10-29,2025-08-05,2025-04-29,2025-02-04,2024-10-29
EQT US Equity,2023-07-25,2023-04-26,2023-10-25,-0.17,0.3907,14.04,0.7333333333333334,1,1,4,1.0,2025-07-22,2025-04-22,2025-02-18,2024-10-29,2024-07-23,2024-04-23,2024-02-13,2023-10-25
AMP US Equity,2021-10-26,2021-07-26,2022-01-26,5.86,0.061200000000000004,21.9,-0.3224009900990099,0,1,5,2.0,2023-10-25,2023-07-26,2023-04-24,2023-01-25,2022-10-25,2022-07-26,2022-04-25,2022-01-26
EVRG US Equity,2021-02-26,2020-11-05,2021-05-06,0.28,0.2727,18.57,0.11800120409391934,0,1,8,3.0,2023-02-24,2022-11-04,2022-08-04,2022-05-05,2022-02-25,2021-11-03,2021-08-05,2021-05-06
DHI US Equity,2023-11-07,2023-07-20,2024-01-23,4.45,0.1335,7.67,-0.09976525821596238,1,1,2,2.0,2025-10-28,2025-07-22,2025-04-17,2025-01-21,2024-10-29,2024-07-18,2024-04-18,2024-01-23
NOC US Equity,2021-04-29,2021-01-28,2021-07-29,6.57,0.2011,13.96,0.012327773749093662,1,1,6,0.0,2023-04-27,2023-01-26,2022-10-27,2022-07-28,2022-04-28,2022-01-27,2021-10-28,2021-07-29
IR US Equity,2022-11-02,2022-08-03,2023-02-21,0.62,0.0438,26.54,0.06586345381526115,1,1,6,2.0,2024-10-31,2024-07-31,2024-05-02,2024-02-15,2023-11-01,2023-08-02,2023-05-03,2023-02-21
AMP US Equity,2023-10-25,2023-07-26,2024-01-24,6.96,-0.083,14.54,0.0055325034578146415,1,0,5,2.0,2025-10-23,2025-07-24,2025-04-24,2025-01-29,2024-10-23,2024-07-24,2024-04-22,2024-01-24
MLM US Equity,2024-02-14,2023-11-01,2024-04-30,4.63,0.1613,25.49,0.10826086956521741,1,1,6,3.0,2026-02-12,2025-10-30,2025-08-07,2025-04-30,2025-02-12,2024-10-30,2024-08-08,2024-04-30
MSI US Equity,2022-02-09,2021-11-04,2022-05-12,2.85,0.0409,36.72,0.10635733654715285,0,1,1,3.0,2024-02-08,2023-11-02,2023-08-03,2023-05-04,2023-02-09,2022-11-03,2022-08-04,2022-05-12
