Equity name,Ann Date,Prev Ann Date,Next Ann Date,EPS,Surprise,PE,PE Change,Up Down Flag,Beat Miss Flag,Sector,Quarter,%Px Chg,Surprise 8,Surprise 7,Surprise 6,Surprise 5,Surprise 4,Surprise 3,Surprise 2,Surprise 1
IBM US Equity,2023-07-19,2023-04-19,2023-10-25,2.18,0.09,15.31,0.010561056105610644,1,1,7,1.0,0.021400000000000002,0.0675,0.1291,0.047,0.0374,0.1066,0.0559,0.0298,0.049100000000000005
MOS US Equity,2022-08-01,2022-05-02,2022-11-07,3.64,-0.09,5.24,-0.4229074889867841,1,0,0,1.0,0.016200000000000003,-0.1855,-0.0166,-0.17920000000000003,-0.1005,-0.0698,-0.08289999999999999,-0.1873,-0.056299999999999996
DRI US Equity,2021-09-23,2021-06-24,2021-12-17,1.76,0.0673,23.43,-0.19039391845196962,1,1,2,2.0,0.0611,0.0259,0.0174,0.0451,0.0556,0.0,0.009899999999999999,-0.0766,0.0264
MTB US Equity,2022-07-20,2022-04-20,2022-10-19,3.02,0.0453,12.31,-0.029944838455476686,1,1,5,1.0,0.005,0.0819,-0.0019,0.0232,0.0277,0.2626,0.0103,0.0368,-0.09179999999999999
SYF US Equity,2022-10-25,2022-07-18,2023-01-23,1.47,0.056799999999999996,4.46,0.10669975186104219,1,1,5,2.0,0.056799999999999996,0.0736,0.1507,-0.12789999999999999,0.1063,0.0342,0.0706,-0.0493,0.1351
JCI US Equity,2020-11-03,2020-07-31,2021-01-29,0.76,0.046799999999999994,18.16,0.20185307743216407,1,1,6,2.0,0.0064,0.0060999999999999995,0.0095,-0.0016,0.0169,0.0069,-0.0024,0.061200000000000004,0.0617
HRL US Equity,2020-11-24,2020-08-25,2021-02-18,0.428,-0.0259,29.16,-0.01950235373234699,0,0,3,3.0,-0.0564,0.0241,-0.022000000000000002,0.0235,0.0069,0.018000000000000002,-0.0152,0.024399999999999998,0.0031
KEY US Equity,2020-04-16,2020-01-23,2020-07-22,0.12,-0.573,7.25,-0.3840271877655055,0,0,5,0.0,-0.0553,-0.07980000000000001,0.1464,0.1484,0.36450000000000005,0.2656,0.3256,0.1202,0.7582
OTIS US Equity,2021-02-01,2020-10-26,2021-04-26,0.66,0.1186,27.02,-0.1038142620232172,0,1,6,3.0,-0.0015,0.04019999999999999,0.0152,0.0928,0.0405,0.0435,0.047599999999999996,0.1018,0.141
ALLE US Equity,2022-07-28,2022-04-26,2022-10-27,1.37,0.0332,18.44,-0.11643507426928601,1,1,6,1.0,0.0012,0.0641,0.0779,0.0613,0.0178,0.047,0.17559999999999998,0.1586,0.1096
EQIX US Equity,2022-07-27,2022-04-27,2022-11-02,2.364,0.276,98.36,-0.20420711974110028,1,1,5,1.0,0.0906,0.1618,-0.0902,0.0889,0.33240000000000003,0.0519,0.26890000000000003,-0.2102,0.27940000000000004
LDOS US Equity,2023-02-14,2022-11-01,2023-05-02,1.8,0.11939999999999999,19.66,0.14836448598130825,0,1,7,3.0,-0.0542,0.041299999999999996,0.45549999999999996,0.1586,0.3502,0.13970000000000002,0.21850000000000003,0.1472,-0.0731
BKNG US Equity,2023-05-04,2023-02-22,2023-08-03,11.6,0.135,26.31,0.23347398030942346,0,1,1,0.0,-0.0132,0.4219,0.1426,0.08560000000000001,0.08869999999999999,0.4625,0.08039999999999999,0.0661,0.31980000000000003
DTE US Equity,2020-10-27,2020-07-28,2021-02-19,2.61,0.25420000000000004,17.7,0.029668411867364686,1,1,8,2.0,0.0236,0.0172,-0.1209,0.1208,0.1986,-0.0622,0.2518,0.1229,0.075
CMCSA US Equity,2023-04-27,2023-01-26,2023-07-27,0.92,0.10980000000000001,11.56,0.028469750889679846,1,1,1,0.0,0.1027,0.09,0.1124,0.0556,0.0794,0.0452,0.060599999999999994,0.1356,0.1637
WMT US Equity,2023-02-21,2022-11-15,2023-05-18,0.57,0.1265,27.56,-0.024079320113314484,1,1,2,0.0,0.0060999999999999995,0.0217,0.09230000000000001,0.0388,0.1429,0.0909,0.011899999999999999,0.0836,0.1213
RVTY US Equity,2023-08-01,2023-05-11,2023-10-30,1.21,0.0263,46.75,0.21808233454924442,0,1,3,2.0,-0.0026,0.0351,0.0643,0.0365,0.1358,0.09119999999999999,0.047,0.0739,-0.011699999999999999
KEY US Equity,2021-01-21,2020-10-21,2021-04-20,0.57,0.3256,13.13,0.27723735408560324,0,1,5,3.0,-0.0077,-0.3141,-0.0582,0.061799999999999994,-0.07980000000000001,0.1464,0.1484,0.36450000000000005,0.2656
COR US Equity,2023-05-02,2023-02-01,2023-08-02,3.5,0.06509999999999999,15.84,-0.03825136612021851,1,1,3,0.0,0.014199999999999999,0.0684,0.0579,0.035699999999999996,0.0395,0.029300000000000003,0.133,0.021400000000000002,0.0351
CPRT US Equity,2021-05-19,2021-02-18,2021-09-08,0.273,0.3557,37.06,-0.04089026915113869,1,1,2,1.0,0.0256,0.1442,0.059000000000000004,-0.0794,0.0236,0.0263,0.0148,0.06570000000000001,0.11960000000000001
TDG US Equity,2023-08-08,2023-05-09,2023-11-09,7.25,0.1381,44.87,0.039860950173812304,0,1,6,2.0,-0.0277,-0.0286,0.0181,0.0207,0.0616,0.053399999999999996,0.0828,0.1186,0.0634
JCI US Equity,2021-01-29,2020-11-03,2021-04-30,0.43,0.0617,20.34,0.12004405286343611,1,1,6,3.0,0.0097,0.0045000000000000005,0.0060999999999999995,0.0095,-0.0016,0.0169,0.0069,-0.0024,0.061200000000000004
POOL US Equity,2020-10-22,2020-07-23,2021-02-11,2.7,0.23800000000000002,44.31,0.10664335664335667,0,1,2,2.0,-0.016,0.0323,0.0024,0.4089,0.1856,0.1484,0.1251,0.9948,0.8614
TJX US Equity,2021-11-17,2021-08-18,2022-02-23,0.84,0.0358,27.87,-0.10096774193548386,1,1,2,3.0,0.0583,0.028999999999999998,0.114,0.0689,-0.0067,0.0591,0.0147,0.1258,-0.1419
MKTX US Equity,2023-04-26,2023-01-25,2023-07-20,1.96,0.0327,56.71,0.35216976633285646,0,1,3,0.0,-0.0165,0.031400000000000004,0.026099999999999998,0.04,0.022000000000000002,0.028900000000000002,0.0642,-0.0088,0.0025
GOOGL US Equity,2023-07-25,2023-04-25,2023-10-24,1.892,0.3224,24.33,0.10240144993203426,1,1,1,1.0,0.057800000000000004,0.0872,0.5842,0.1884,0.3265,0.2212,0.531,0.20550000000000002,0.3925
LRCX US Equity,2021-01-27,2020-10-21,2021-04-21,0.603,0.055999999999999994,23.5,0.2466843501326259,0,1,7,3.0,-0.0149,0.071,0.0877,0.2096,-0.0173,0.0034999999999999996,0.0258,0.07440000000000001,0.1331
VICI US Equity,2022-02-24,2021-10-28,2022-05-05,0.0,0.0,15.76,0.04856952761144373,1,0,5,3.0,0.0196,0.1321,-0.12560000000000002,0.122,-0.129,0.0,-0.4077,0.0,-0.2553
GOOGL US Equity,2021-04-27,2021-02-02,2021-07-27,1.315,0.4836,32.95,-0.026012415016257617,1,1,1,0.0,0.0297,0.2821,0.013300000000000001,0.061900000000000004,-0.156,0.0944,0.2281,0.0512,0.2324
HPQ US Equity,2020-11-24,2020-08-27,2021-02-25,0.62,0.1855,7.64,0.01192052980132452,1,1,7,3.0,0.023,0.011899999999999999,-0.005699999999999999,0.0256,0.0742,0.0646,0.1962,0.0461,0.3918
APTV US Equity,2020-05-05,2020-01-30,2020-07-30,0.68,0.7481,11.12,-0.438100050530571,1,1,2,0.0,0.0213,0.09,-0.0018,0.22579999999999997,-0.0977,0.3893,0.121,0.3797,0.19649999999999998
GM US Equity,2023-07-25,2023-04-25,2023-10-24,1.91,0.0291,4.78,-0.04970178926441349,0,1,2,1.0,-0.0351,0.0868,0.0217,0.046900000000000004,0.2077,0.1321,0.2382,0.0699,0.23850000000000002
AXP US Equity,2022-07-22,2022-04-22,2022-10-21,2.57,0.0731,14.22,-0.2411953041622198,1,1,5,1.0,0.018799999999999997,0.0775,0.1235,-0.0109,0.1198,0.0288,-0.1035,-0.0659,0.0287
CMS US Equity,2023-07-27,2023-04-27,2023-10-26,0.75,0.0917,23.04,-0.1328566051938277,0,1,8,1.0,-0.0287,0.0472,0.0049,-0.0034000000000000002,0.0825,0.055999999999999994,0.0613,0.0067,0.009899999999999999
BXP US Equity,2022-07-26,2022-05-02,2022-10-25,1.42,0.8251999999999999,24.58,-0.45035778175313057,1,1,5,1.0,0.0189,0.051500000000000004,0.0851,0.22579999999999997,0.0,0.1321,0.008100000000000001,0.10949999999999999,1.9135
