Equity name,Ann Date,Prev Ann Date,Next Ann Date,EPS,Surprise,PE,PE Change,Up Down Flag,Beat Miss Flag,Sector,Quarter,Surprise 8,Surprise 7,Surprise 6,Surprise 5,Surprise 4,Surprise 3,Surprise 2,Surprise 1
AVB US Equity,2024-04-25,2024-01-31,2024-07-31,1.22,0.051699999999999996,38.82,-0.041954590325765095,1,1,5,0.0,2026-04-30,2026-02-05,2025-11-04,2025-07-30,2025-04-30,2025-02-05,2024-11-04,2024-07-31
APH US Equity,2023-10-25,2023-07-26,2024-01-24,0.39,0.045599999999999995,28.0,-0.004621400639886253,1,1,6,2.0,2025-10-22,2025-07-23,2025-04-23,2025-01-22,2024-10-23,2024-07-24,2024-04-24,2024-01-24
GE US Equity,2023-10-24,2023-07-25,2024-01-23,0.82,0.45909999999999995,9.28,-0.11619047619047629,1,1,6,2.0,2025-10-21,2025-07-17,2025-04-22,2025-01-23,2024-10-22,2024-07-23,2024-04-23,2024-01-23
DPZ US Equity,2023-02-23,2022-10-13,2023-04-27,4.43,0.1164,29.1,0.16121308858739036,0,1,2,0.0,2025-02-24,2024-10-10,2024-07-18,2024-04-29,2024-02-26,2023-10-12,2023-07-24,2023-04-27
WBA US Equity,2021-01-07,2020-10-15,2021-03-31,1.22,0.1856,15.58,0.5564435564435566,1,1,2,3.0,2023-01-05,2022-10-13,2022-06-30,2022-03-31,2022-01-06,2021-10-14,2021-07-01,2021-03-31
PPL US Equity,2020-11-05,2020-08-10,2021-02-18,0.58,-0.052300000000000006,21.43,0.43440428380187424,1,0,8,2.0,2022-11-04,2022-08-03,2022-05-05,2022-02-18,2021-11-04,2021-08-05,2021-05-06,2021-02-18
CTSH US Equity,2023-05-03,2023-02-02,2023-08-02,1.11,0.0622,13.57,0.04868624420401857,1,1,7,0.0,2025-04-30,2025-02-05,2024-10-30,2024-07-31,2024-05-01,2024-02-06,2023-11-01,2023-08-02
USB US Equity,2020-07-15,2020-04-15,2020-10-14,0.41,0.185,11.58,0.2982062780269059,1,1,5,1.0,2022-07-15,2022-04-14,2022-01-19,2021-10-14,2021-07-15,2021-04-15,2021-01-20,2020-10-14
AIG US Equity,2024-02-13,2023-11-01,2024-05-01,1.79,0.0955,15.33,0.055058499655884496,0,1,5,3.0,2026-02-11,2025-11-04,2025-07-31,2025-05-01,2025-02-11,2024-11-04,2024-07-31,2024-05-01
FAST US Equity,2020-07-14,2020-04-14,2020-10-13,0.21,0.1475,29.75,0.31404593639575973,1,1,2,1.0,2022-07-13,2022-04-13,2022-01-19,2021-10-12,2021-07-13,2021-04-13,2021-01-20,2020-10-13
EXE US Equity,2023-10-31,2023-08-01,2024-02-20,1.09,1.0962,12.43,0.5895140664961636,1,1,4,2.0,2025-10-29,2025-07-29,2025-04-29,2025-02-26,2024-10-29,2024-07-29,2024-04-30,2024-02-20
GNRC US Equity,2021-11-02,2021-07-28,2022-02-16,2.35,-0.0204,49.6,-0.04173106646058722,0,0,6,2.0,2023-11-01,2023-08-02,2023-05-03,2023-02-15,2022-11-02,2022-08-03,2022-05-04,2022-02-16
HD US Equity,2023-08-15,2023-05-16,2023-11-14,4.65,0.0438,20.85,0.13872200983069383,1,1,2,2.0,2025-08-19,2025-05-20,2025-02-25,2024-11-12,2024-08-13,2024-05-14,2024-02-20,2023-11-14
LIN US Equity,2024-02-06,2023-10-26,2024-05-02,3.59,0.037000000000000005,28.9,0.06957809030347883,1,1,0,3.0,2026-02-06,2025-10-31,2025-08-01,2025-05-01,2025-02-06,2024-10-31,2024-08-02,2024-05-02
DRI US Equity,2022-12-16,2022-09-22,2023-03-23,1.52,0.0556,22.65,0.19210526315789456,0,1,2,3.0,2024-12-19,2024-09-19,2024-06-20,2024-03-21,2023-12-15,2023-09-21,2023-06-22,2023-03-23
SWK US Equity,2023-05-04,2023-02-02,2023-08-01,-0.41,0.44670000000000004,19.76,0.32795698924731176,0,1,6,1.0,2025-04-30,2025-02-05,2024-10-29,2024-07-30,2024-05-02,2024-02-01,2023-10-27,2023-08-01
AMT US Equity,2023-04-26,2023-02-23,2023-07-27,0.89,-0.185,54.78,0.18674176776429818,0,0,5,0.0,2025-04-29,2025-02-25,2024-10-29,2024-07-30,2024-04-30,2024-02-27,2023-10-26,2023-07-27
DOC US Equity,2024-07-25,2024-04-25,2024-10-24,0.21,1.234,49,0.17590592752579792,1,1,5,1.0,2026-07-24,2026-04-24,2026-02-03,2025-10-24,2025-07-24,2025-04-24,2025-02-03,2024-10-24
TFC US Equity,2023-04-20,2023-01-19,2023-07-20,1.05,-0.08220000000000001,7.21,-0.17031070195627152,0,0,5,0.0,2025-04-17,2025-01-17,2024-10-17,2024-07-22,2024-04-22,2024-01-18,2023-10-19,2023-07-20
EMN US Equity,2021-08-02,2021-04-29,2021-10-28,2.46,0.0567,14.89,-0.16582633053221296,0,1,0,1.0,2023-07-27,2023-04-28,2023-01-26,2022-10-27,2022-07-28,2022-04-28,2022-01-27,2021-10-28
A US Equity,2022-05-24,2022-02-22,2022-08-16,1.13,0.0098,28.88,-0.17907902217168847,0,1,3,1.0,2024-05-29,2024-02-27,2023-11-20,2023-08-15,2023-05-23,2023-02-28,2022-11-21,2022-08-16
HPQ US Equity,2023-05-30,2023-02-28,2023-08-29,0.8,0.054000000000000006,9.23,0.12423873325213153,0,1,7,1.0,2025-05-28,2025-02-27,2024-11-26,2024-08-28,2024-05-29,2024-02-28,2023-11-21,2023-08-29
SWKS US Equity,2022-11-03,2022-05-03,2022-11-03,2.44,0.0313,12.65,-0.0350877192982455,1,1,7,2.0,2024-07-30,2024-04-30,2024-01-30,2023-11-02,2023-08-07,2023-05-08,2023-02-06,2022-11-03
MCK US Equity,2022-05-05,2022-02-02,2022-08-04,5.83,-0.032799999999999996,13.26,0.17761989342806395,1,0,3,0.0,2024-05-07,2024-02-07,2023-11-01,2023-08-02,2023-05-08,2023-02-01,2022-11-02,2022-08-04
KMI US Equity,2022-10-19,2022-07-20,2023-01-18,0.25,-0.0909,15.13,-0.0338441890166028,0,0,4,2.0,2024-10-16,2024-07-17,2024-04-17,2024-01-17,2023-10-18,2023-07-19,2023-04-19,2023-01-18
ECL US Equity,2022-11-01,2022-07-26,2023-02-14,1.3,-0.0031,33.66,-0.08283378746594017,0,0,0,2.0,2024-10-29,2024-07-30,2024-04-30,2024-02-13,2023-10-31,2023-08-01,2023-05-02,2023-02-14
CSCO US Equity,2021-11-17,2021-08-18,2022-02-16,0.82,0.018600000000000002,20.06,-0.003477396920019915,0,1,1,3.0,2023-11-15,2023-08-16,2023-05-17,2023-02-15,2022-11-16,2022-08-17,2022-05-18,2022-02-16
USB US Equity,2021-01-20,2020-10-14,2021-04-15,0.95,0.0011,15.18,0.2788542544229149,0,1,5,3.0,2023-01-25,2022-10-14,2022-07-15,2022-04-14,2022-01-19,2021-10-14,2021-07-15,2021-04-15
DPZ US Equity,2021-04-29,2021-02-25,2021-07-22,3.0,0.0197,29.83,0.0023521505376342677,1,1,2,0.0,2023-04-27,2023-02-23,2022-10-13,2022-07-21,2022-04-28,2022-03-01,2021-10-14,2021-07-22
BLDR US Equity,2020-07-30,2020-04-30,2020-10-29,0.67,0.898,9.67,0.6279461279461278,1,1,6,1.0,2022-08-01,2022-05-10,2022-03-01,2021-11-04,2021-08-05,2021-05-06,2021-02-26,2020-10-29
NTRS US Equity,2021-01-21,2020-10-21,2021-04-20,1.491,0.0021,17.09,0.3105828220858897,0,1,5,3.0,2023-01-19,2022-10-19,2022-07-20,2022-04-26,2022-01-20,2021-10-20,2021-07-21,2021-04-20
BRO US Equity,2023-04-24,2023-01-23,2023-07-24,0.84,0.0282,25.07,-0.009873617693522907,1,1,5,0.0,2025-04-28,2025-01-27,2024-10-28,2024-07-22,2024-04-22,2024-01-22,2023-10-23,2023-07-24
DAL US Equity,2020-04-22,2020-01-14,2020-07-14,-0.51,0.4158,4.84,-0.39119496855345914,0,1,2,0.0,2022-04-13,2022-01-13,2021-10-13,2021-07-14,2021-04-15,2021-01-14,2020-10-13,2020-07-14
