Equity name,Ann Date,Prev Ann Date,Next Ann Date,EPS,Surprise,PE,PE Change,Up Down Flag,Beat Miss Flag,Sector,Quarter,Surprise 8,Surprise 7,Surprise 6,Surprise 5,Surprise 4,Surprise 3,Surprise 2,Surprise 1
FDX US Equity,2024-03-21,2023-12-19,2024-06-25,3.86,0.1153,14.35,-0.06270411495754413,1,1,6,0.0,2026-03-20,2025-12-19,2025-09-18,2025-06-24,2025-03-20,2024-12-19,2024-09-19,2024-06-25
JNJ US Equity,2024-04-16,2024-01-23,2024-07-17,2.71,0.023399999999999997,20.52,0.08917197452229297,0,1,3,0.0,2026-04-15,2026-01-22,2025-10-14,2025-07-16,2025-04-15,2025-01-22,2024-10-15,2024-07-17
APH US Equity,2023-07-26,2023-04-26,2023-10-25,0.36,0.0526,28.13,0.053163609135155276,1,1,6,1.0,2025-07-23,2025-04-23,2025-01-22,2024-10-23,2024-07-24,2024-04-24,2024-01-24,2023-10-25
VRSK US Equity,2021-02-23,2020-11-04,2021-05-04,1.27,-0.023799999999999998,48.73,0.09137737961926096,0,0,3,3.0,2023-02-27,2022-11-01,2022-08-02,2022-05-03,2022-02-22,2021-11-02,2021-08-03,2021-05-04
TXN US Equity,2020-07-21,2020-04-21,2020-10-20,1.48,0.6972,23.82,0.24191866527632944,0,1,7,1.0,2022-07-26,2022-04-26,2022-01-25,2021-10-26,2021-07-21,2021-04-27,2021-01-26,2020-10-20
SJM US Equity,2020-11-24,2020-08-25,2021-02-25,2.39,0.0742,14.17,0.031295487627365226,1,1,3,3.0,2022-11-21,2022-08-23,2022-06-07,2022-03-01,2021-11-23,2021-08-26,2021-06-03,2021-02-25
LLY US Equity,2022-02-03,2021-10-26,2022-04-28,2.49,0.0028000000000000004,35.73,0.25721323011963393,0,1,3,3.0,2024-02-06,2023-11-02,2023-08-08,2023-04-27,2023-02-02,2022-11-01,2022-08-04,2022-04-28
MAS US Equity,2021-04-28,2021-02-09,2021-07-29,0.89,0.33630000000000004,18.37,-0.046704722366372575,1,1,6,0.0,2023-04-26,2023-02-09,2022-10-26,2022-07-28,2022-04-27,2022-02-08,2021-10-27,2021-07-29
CPRT US Equity,2020-11-18,2020-09-02,2021-02-18,0.198,0.1096,41.18,0.13038704364534714,0,1,2,3.0,2022-11-16,2022-09-07,2022-05-18,2022-02-16,2021-11-17,2021-09-08,2021-05-19,2021-02-18
TSN US Equity,2020-05-04,2020-02-06,2020-08-03,0.77,-0.2625,11.57,-0.31497927767910006,0,0,3,0.0,2022-05-09,2022-02-07,2021-11-15,2021-08-09,2021-05-10,2021-02-11,2020-11-16,2020-08-03
